"Rank","Player","Team","Bye","POS","Yahoo","Sleeper","RTSports","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1","","1","1.0"
"3","Saquon Barkley","PHI","9","RB2","2","","4","3.5"
"2","Bijan Robinson","ATL","5","RB1","3","","2","2.5"
"4","Jahmyr Gibbs","DET","8","RB3","4","","3","4.3"
"5","Justin Jefferson","MIN","6","WR2","5","","6","4.5"
"6","CeeDee Lamb","DAL","10","WR3","6","","5","5.3"
"12","Derrick Henry","BAL","7","RB6","7","","12","12.0"
"7","Puka Nacua","LAR","8","WR4","8","","10","8.8"
"8","Ashton Jeanty","LV","8","RB4","9","","8","9.3"
"11","Amon-Ra St. Brown","DET","8","WR6","10","","11","9.8"
"9","Christian McCaffrey","SF","14","RB5","11","","7","9.5"
"13","Nico Collins","HOU","6","WR7","12","","15","12.3"
"10","Malik Nabers","NYG","14","WR5","13","","9","9.8"
"18","Jonathan Taylor","IND","11","RB8","14","","23","19.3"
"21","Josh Jacobs","GB","5","RB10","15","","16","20.8"
"14","Brian Thomas Jr.","JAC","8","WR8","16","","14","14.3"
"16","Brock Bowers","LV","8","TE1","17","","18","17.8"
"15","De'Von Achane","MIA","12","RB7","18","","13","15.0"
"20","Bucky Irving","TB","9","RB9","19","","17","20.3"
"24","Josh Allen","BUF","7","QB2","20","","21","24.8"
"19","A.J. Brown","PHI","9","WR10","21","","25","20.3"
"23","Lamar Jackson","BAL","7","QB1","22","","20","24.0"
"27","Kyren Williams","LAR","8","RB12","23","","24","27.8"
"17","Drake London","ATL","5","WR9","24","","19","18.5"
"22","Ladd McConkey","LAC","12","WR11","25","","30","23.3"
"26","Trey McBride","ARI","8","TE2","26","","29","26.8"
"30","Jayden Daniels","WAS","12","QB3","27","","27","31.0"
"25","Chase Brown","CIN","10","RB11","28","","22","26.3"
"38","James Cook","BUF","7","RB14","29","","32","37.3"
"28","Tee Higgins","CIN","10","WR12","30","","37","29.8"
"37","Jalen Hurts","PHI","9","QB4","31","","36","37.0"
"32","Jaxon Smith-Njigba","SEA","8","WR15","32","","34","31.3"
"40","George Kittle","SF","14","TE3","33","","42","39.0"
"36","Terry McLaurin","WAS","12","WR18","34","","41","36.0"
"33","Breece Hall","NYJ","9","RB13","35","","26","31.5"
"41","Mike Evans","TB","9","WR20","36","","48","40.3"
"29","Tyreek Hill","MIA","12","WR13","37","","28","30.0"
"48","Joe Mixon","HOU","6","RB19","38","","49","50.0"
"42","Joe Burrow","CIN","10","QB5","39","","31","40.8"
"31","Garrett Wilson","NYJ","9","WR14","40","","35","31.3"
"47","Chuba Hubbard","CAR","14","RB18","41","","44","47.8"
"35","Davante Adams","LAR","8","WR17","42","","38","36.0"
"39","Marvin Harrison Jr.","ARI","8","WR19","43","","39","37.3"
"43","Alvin Kamara","NO","11","RB15","44","","33","43.0"
"44","Kenneth Walker III","SEA","8","RB16","45","","43","44.0"
"34","Rashee Rice","KC","10","WR16","46","","40","35.8"
"51","James Conner","ARI","8","RB20","47","","52","53.3"
"59","Sam LaPorta","DET","8","TE4","48","","61","61.8"
"60","David Montgomery","DET","8","RB22","49","","60","62.0"
"46","Omarion Hampton","LAC","12","RB17","50","","45","45.8"
"57","Patrick Mahomes II","KC","10","QB6","51","","54","60.3"
"49","DK Metcalf","PIT","5","WR22","52","","55","50.0"
"45","DJ Moore","CHI","5","WR21","53","","47","45.5"
"65","Baker Mayfield","TB","9","QB7","54","","63","67.3"
"58","RJ Harvey","DEN","12","RB21","55","","50","60.8"
"78","T.J. Hockenson","MIN","6","TE6","56","","78","76.5"
"54","Zay Flowers","BAL","7","WR26","57","","66","57.8"
